date,email,call
2011-03-12,0.0,0
2011-03-13,0.0,0
2011-03-14,0.0,77
2011-03-15,0.0,76
2011-03-16,0.0,69
2011-03-17,0.0,49
2011-03-18,0.0,37
2011-03-19,0.0,0
2011-03-20,0.0,0
2011-03-21,0.0,81
2011-03-22,0.0,69
2011-03-23,0.0,110
2011-03-24,0.0,80
2011-03-25,0.0,83
2011-03-26,0.0,1
2011-03-27,0.0,0
2011-03-28,0.0,85
2011-03-29,0.0,90
2011-03-30,0.0,88
2011-03-31,0.0,0
2011-04-01,0.0,0
2011-04-02,0.0,0
2011-04-03,0.0,0
2011-04-04,0.0,91
2011-04-05,0.0,91
2011-04-06,0.0,90
2011-04-07,0.0,96
2011-04-08,0.0,103
2011-04-09,0.0,3
2011-04-10,0.0,0
2011-04-11,0.0,99
2011-04-12,0.0,99
2011-04-13,0.0,83
2011-04-14,0.0,74
2011-04-15,0.0,90
2011-04-16,0.0,0
2011-04-17,0.0,1
2011-04-18,0.0,101
2011-04-19,0.0,96
2011-04-20,0.0,68
2011-04-21,0.0,59
2011-04-22,0.0,38
2011-04-23,0.0,0
2011-04-24,0.0,0
2011-04-25,0.0,92
2011-04-26,0.0,84
2011-04-27,0.0,96
2011-04-28,0.0,95
2011-04-29,0.0,62
2011-04-30,0.0,6
2011-05-01,0.0,2
2011-05-02,0.0,108
2011-05-03,0.0,102
2011-05-04,0.0,85
2011-05-05,0.0,82
2011-05-06,0.0,64
2011-05-07,0.0,7
2011-05-08,0.0,2
2011-05-09,0.0,81
2011-05-10,0.0,83
2011-05-11,0.0,82
2011-05-12,0.0,68
2011-05-13,0.0,66
2011-05-14,0.0,0
2011-05-15,0.0,0
2011-05-16,0.0,109
2011-05-17,0.0,91
2011-05-18,0.0,95
2011-05-19,0.0,86
2011-05-20,0.0,78
2011-05-21,0.0,0
2011-05-22,0.0,0
2011-05-23,0.0,94
2011-05-24,0.0,103
2011-05-25,0.0,91
2011-05-26,0.0,31
2011-05-27,0.0,71
2011-05-28,0.0,0
2011-05-29,0.0,0
2011-05-30,0.0,18
2011-05-31,0.0,92
2011-06-01,0.0,68
2011-06-02,0.0,78
2011-06-03,0.0,78
2011-06-04,0.0,0
2011-06-05,0.0,0
2011-06-06,0.0,65
2011-06-07,0.0,80
2011-06-08,0.0,77
2011-06-09,0.0,75
2011-06-10,0.0,66
2011-06-11,0.0,0
2011-06-12,0.0,0
2011-06-13,0.0,65
2011-06-14,0.0,82
2011-06-15,0.0,87
2011-06-16,0.0,76
2011-06-17,0.0,54
2011-06-18,0.0,1
2011-06-19,0.0,0
2011-06-20,0.0,74
2011-06-21,0.0,71
2011-06-22,0.0,80
2011-06-23,0.0,85
2011-06-24,0.0,57
2011-06-25,0.0,0
2011-06-26,0.0,0
2011-06-27,0.0,88
2011-06-28,0.0,81
2011-06-29,0.0,96
2011-06-30,0.0,74
2011-07-01,0.0,64
2011-07-02,0.0,0
2011-07-03,0.0,0
2011-07-04,0.0,0
2011-07-05,0.0,52
2011-07-06,0.0,55
2011-07-07,0.0,74
2011-07-08,0.0,64
2011-07-09,0.0,0
2011-07-10,0.0,0
2011-07-11,46.0,328
2011-07-12,12.0,322
2011-07-13,12.0,264
2011-07-14,110.0,295
2011-07-15,95.0,195
2011-07-16,95.0,7
2011-07-17,50.0,1
2011-07-18,26.0,343
2011-07-19,28.0,321
2011-07-20,43.0,303
2011-07-21,65.0,322
2011-07-22,64.0,192
2011-07-23,107.0,11
2011-07-24,110.0,0
2011-07-25,97.0,287
2011-07-26,29.0,282
2011-07-27,47.0,308
2011-07-28,96.0,331
2011-07-29,108.0,283
2011-07-30,127.0,3
2011-07-31,143.0,2
2011-08-01,88.0,347
2011-08-02,46.0,345
2011-08-03,50.0,442
2011-08-04,105.0,378
2011-08-05,149.0,316
2011-08-06,110.0,27
2011-08-07,100.0,0
2011-08-08,109.0,449
2011-08-09,94.0,478
2011-08-10,85.0,403
2011-08-11,167.0,397
2011-08-12,164.0,398
2011-08-13,107.0,224
2011-08-14,124.0,112
2011-08-15,106.0,537
2011-08-16,110.0,456
2011-08-17,116.0,440
2011-08-18,163.0,457
2011-08-19,133.0,569
2011-08-20,155.0,645
2011-08-21,132.0,291
2011-08-22,133.0,577
2011-08-23,203.0,469
2011-08-24,141.0,430
2011-08-25,206.0,433
2011-08-26,192.0,494
2011-08-27,161.0,771
2011-08-28,159.0,515
2011-08-29,165.0,493
2011-08-30,234.0,435
2011-08-31,181.0,408
2011-09-01,267.0,413
2011-09-02,314.0,434
2011-09-03,246.0,629
2011-09-04,204.0,348
2011-09-05,211.0,322
2011-09-06,220.0,389
2011-09-07,225.0,342
2011-09-08,183.0,410
2011-09-09,283.0,419
2011-09-10,214.0,552
2011-09-11,219.0,365
2011-09-12,405.0,353
2011-09-13,192.0,383
2011-09-14,223.0,387
2011-09-15,309.0,405
2011-09-16,244.0,333
2011-09-17,224.0,499
2011-09-18,196.0,321
2011-09-19,182.0,348
2011-09-20,141.0,364
2011-09-21,183.0,344
2011-09-22,232.0,327
2011-09-23,190.0,376
2011-09-24,172.0,392
2011-09-25,146.0,225
2011-09-26,147.0,402
2011-09-27,151.0,363
2011-09-28,176.0,351
2011-09-29,237.0,311
2011-09-30,196.0,304
2011-10-01,162.0,339
2011-10-02,185.0,195
2011-10-03,102.0,374
2011-10-04,215.0,281
2011-10-05,181.0,322
2011-10-06,128.0,286
2011-10-07,104.0,281
2011-10-08,92.0,335
2011-10-09,104.0,167
2011-10-10,173.0,331
2011-10-11,181.0,288
2011-10-12,116.0,300
2011-10-13,125.0,239
2011-10-14,77.0,255
2011-10-15,79.0,303
2011-10-16,98.0,191
2011-10-17,165.0,335
2011-10-18,143.0,236
2011-10-19,140.0,246
2011-10-20,102.0,264
2011-10-21,110.0,283
2011-10-22,105.0,321
2011-10-23,119.0,155
2011-10-24,150.0,292
2011-10-25,120.0,236
2011-10-26,126.0,260
2011-10-27,129.0,249
2011-10-28,116.0,215
2011-10-29,1019.0,325
2011-10-30,125.0,140
2011-10-31,128.0,287
2011-11-01,124.0,280
2011-11-02,100.0,261
2011-11-03,120.0,235
2011-11-04,129.0,322
2011-11-05,146.0,291
2011-11-06,72.0,118
2011-11-07,139.0,288
2011-11-08,145.0,280
2011-11-09,130.0,279
2011-11-10,102.0,242
2011-11-11,64.0,199
2011-11-12,89.0,155
2011-11-13,71.0,110
2011-11-14,220.0,311
2011-11-15,132.0,264
2011-11-16,153.0,333
2011-11-17,130.0,258
2011-11-18,91.0,243
2011-11-19,63.0,153
2011-11-20,72.0,95
2011-11-21,144.0,268
2011-11-22,152.0,285
2011-11-23,114.0,203
2011-11-24,54.0,2
2011-11-25,56.0,7
2011-11-26,69.0,83
2011-11-27,84.0,10
2011-11-28,159.0,317
2011-11-29,158.0,333
2011-11-30,153.0,371
2011-12-01,130.0,341
2011-12-02,117.0,323
2011-12-03,65.0,171
2011-12-04,45.0,61
2011-12-05,136.0,355
2011-12-06,141.0,295
2011-12-07,123.0,351
2011-12-08,115.0,284
2011-12-09,117.0,238
2011-12-10,47.0,74
2011-12-11,32.0,49
2011-12-12,114.0,300
2011-12-13,107.0,261
2011-12-14,123.0,262
2011-12-15,86.0,217
2011-12-16,62.0,176
2011-12-17,39.0,11
2011-12-18,56.0,3
2011-12-19,98.0,247
2011-12-20,74.0,172
2011-12-21,80.0,150
2011-12-22,57.0,148
2011-12-23,43.0,5
